production_budget,domestic_gross,production_profit_domestic
306000000,936662225,630662225
200000000,700059566,500059566
200000000,659363944,459363944
11000000,460998007,449998007
215000000,652270625,437270625
10500000,435110554,424610554
200000000,608581744,408581744
225000000,623279547,398279547
300000000,678815482,378815482
70000000,441226247,371226247
115000000,474544677,359544677
20000000,376057266,356057266
185000000,533720947,348720947
25000000,370782930,345782930
160000000,504014165,344014165
79300000,421785283,342485283
425000000,760507625,335507625
63000000,395708305,332708305
200000000,532177324,332177324
80000000,408010692,328010692
90000000,404508916,314508916
58000000,363070709,305070709
317000000,620181382,303181382
130000000,424668047,294668047
75000000,368384330,293384330
35000000,327481748,292481748
58000000,350126372,292126372
76000000,368065385,292065385
94000000,380529370,286529370
200000000,486295561,286295561
94000000,377845905,283845905
32500000,309205079,276705079
55000000,330151138,275151138
15000000,285761243,270761243
23000000,290271960,267271960
115000000,380270577,265270577
139000000,403706375,264706375
150000000,412563408,262563408
74000000,336045770,262045770
125000000,381193157,256193157
40000000,293506292,253506292
175000000,426525952,251525952
150000000,400738009,250738009
94000000,342548984,248548984
12000000,260000000,248000000
170000000,417719760,247719760
50000000,296623634,246623634
35000000,277322503,242322503
5000000,241438208,236438208
68000000,300531751,232531751
75000000,306169255,231169255
35000000,255959475,220959475
15000000,234760478,219760478
60000000,279167575,219167575
12000000,230347346,218347346
50000000,267655011,217655011
35000000,251188924,216188924
200000000,415004880,215004880
110000000,324591735,214591735
30000000,242212467,212212467
125000000,337135885,212135885
200000000,408992272,208992272
109000000,315544750,206544750
20000000,225686079,205686079
225000000,423315812,198315812
60000000,257784718,197784718
115000000,310676740,195676740
22000000,217631306,195631306
75000000,270620950,195620950
75000000,270329045,195329045
3900000,198680470,194780470
25000000,219195051,194195051
19000000,212259762,193259762
125000000,317871467,192871467
210000000,402111870,192111870
150000000,341268248,191268248
200000000,389813101,189813101
75000000,264624300,189624300
28000000,217350219,189350219
175000000,364001123,189001123
1488000,184925486,183437486
69000000,251513985,182513985
175000000,356461711,181461711
36000000,215288866,179288866
6000000,181813770,175813770
160000000,335061807,175061807
80000000,254464305,174464305
115000000,289423425,174423425
70000000,244082982,174082982
200000000,373524485,173524485
275000000,448139099,173139099
125000000,296131568,171131568
5000000,176040665,171040665
35000000,206040085,171040085
17000000,188024361,171024361
92000000,261441092,169441092
40000000,209218368,169218368
50000000,218665740,168665740
151000000,319246193,168246193
8800000,174803506,166003506
140000000,305411224,165411224
19000000,184208842,165208842
15000000,179800601,164800601
14000000,178406268,164406268
110000000,274092705,164092705
170000000,333172112,163172112
190000000,353007020,163007020
160000000,322719944,162719944
55000000,217326974,162326974
100000000,262233381,162233381
15000000,177200000,162200000
30000000,191796233,161796233
81000000,242704995,161704995
55000000,216303339,161303339
90000000,250690539,160690539
175000000,334201140,159201140
250000000,408084349,158084349
195000000,352390543,157390543
70702619,227969295,157266676
136200000,292324737,156124737
90000000,245852179,155852179
37000000,192769854,155769854
29000000,184296230,155296230
8200000,163214286,155014286
20000000,175006930,155006930
22000000,176484651,154484651
5500000,159616327,154116327
75000000,229086679,154086679
127500000,281287133,153787133
88000000,241688385,153688385
20000000,173585516,153585516
15000000,167780960,152780960
28000000,179880271,151880271
65000000,216335085,151335085
60000000,210614939,150614939
63000000,213117789,150117789
175000000,325100054,150100054
70000000,219614612,149614612
10000000,159342015,149342015
48000000,197171806,149171806
20000000,169100479,149100479
85000000,233632142,148632142
25000000,172825435,147825435
67500000,214030500,146530500
25000000,169705587,144705587
25000000,169607287,144607287
30000000,174532921,144532921
14000000,156645693,142645693
170000000,312433331,142433331
150000000,292137260,142137260
32000000,173840591,141840591
50000000,191719337,141719337
110000000,250863268,140863268
30000000,170687518,140687518
150000000,290201752,140201752
600000,140539099,139939099
44000000,183875760,139875760
3000000,141600000,138600000
23000000,161491646,138491646
19000000,157019771,138019771
11000000,148168459,137168459
123000000,260044825,137044825
32500000,169211718,136711718
40000000,176591618,136591618
7000000,143495265,136495265
45000000,181410615,136410615
35000000,171243005,136243005
90000000,226164286,136164286
180000000,315058289,135058289
200000000,334191110,134191110
20000000,153665036,133665036
30000000,163479795,133479795
28000000,161197785,133197785
5000000,138141585,133141585
186000000,318604126,132604126
160000000,292576195,132576195
185000000,317101119,132101119
18000000,150086800,132086800
6000000,137963328,131963328
150000000,281553689,131553689
20000000,151101803,131101803
10000000,138433435,128433435
330600000,459005868,128405868
7000000,134966411,127966411
14000000,141330703,127330703
40000000,166167230,126167230
40000000,163958031,123958031
15000000,138797449,123797449
25000000,148095302,123095302
22000000,144833357,122833357
55000000,177784257,122784257
13500000,135265915,121765915
160000000,281723902,121723902
27500000,148761765,121261765
108000000,228433663,120433663
26000000,146336178,120336178
75000000,195330621,120330621
25000000,145000989,120000989
130000000,249757726,119757726
90000000,209028679,119028679
75000000,193595521,118595521
175000000,293004164,118004164
65000000,182805123,117805123
45000000,162798565,117798565
140000000,257730019,117730019
20000000,137400141,117400141
65000000,182207973,117207973
2600000,119500000,116900000
43000000,159581587,116581587
42000000,158340892,116340892
1000000,117235147,116235147
50000000,165493908,115493908
30000000,145096820,115096820
15000000,130058047,115058047
777000,115000000,114223000
37000000,150394119,113394119
6000000,119114517,113114517
15000000,128067808,113067808
85000000,198000317,113000317
12000000,124872350,112872350
20000000,132675402,112675402
52000000,164606800,112606800
20000000,132422809,112422809
180000000,291710957,111710957
65000000,176387405,111387405
55000000,166225040,111225040
16000000,127175374,111175374
21000000,132092958,111092958
13000000,123922370,110922370
20000000,130726716,110726716
72500000,183135014,110635014
18000000,128505958,110505958
40000000,150117807,110117807
35000000,144731527,109731527
25000000,134202565,109202565
65000000,173772767,108772767
33000000,141340178,108340178
60000000,168213584,108213584
55000000,162586036,107586036
450000,107918810,107468810
61000000,167767189,106767189
7000000,113721571,106721571
90000000,196573705,106573705
38000000,144512310,106512310
65000000,171479930,106479930
44000000,150415432,106415432
150000000,256393010,106393010
35000000,141186864,106186864
95000000,201151353,106151353
4000000,109492484,105492484
4400000,108981275,104581275
200000000,304360277,104360277
98000000,202007640,104007640
17500000,121463226,103963226
50000000,153952592,103952592
100000000,203464105,103464105
65000000,167500092,102500092
132000000,234280354,102280354
14000000,116000000,102000000
858000,102797000,101939000
18000000,119920129,101920129
40000000,141744320,101744320
20000000,121697323,101697323
80000000,180981886,100981886
11000000,111897830,100897830
10000000,110359362,100359362
50000000,150357137,100357137
90000000,190173195,100173195
8000000,107928762,99928762
35000000,134506920,99506920
127000000,226277068,99277068
7500000,106593296,99093296
5000000,104028807,99028807
150000000,248757044,98757044
40000000,138614544,98614544
50000000,148478011,98478011
85000000,183417150,98417150
116000000,213511408,97511408
130000000,227471070,97471070
20000000,117229692,97229692
800000,98000000,97200000
18000000,114968774,96968774
25000000,121945720,96945720
15000000,111936388,96936388
42000000,138447667,96447667
6000000,102308900,96308900
6000000,102272145,96272145
80000000,175750384,95750384
120000000,215409889,95409889
14000000,109306210,95306210
57500000,152647258,95147258
30000000,125014030,95014030
45000000,139854287,94854287
13000000,106954678,93954678
20000000,113257297,93257297
78000000,170708996,92708996
125000000,217536138,92536138
52000000,144130063,92130063
44500000,136025503,91525503
