,genre_ids,original_language,popularity,release_date_x,movie,vote_average,vote_count,tconst,start_year,runtime_minutes,genres,id,release_date_y,production_budget,domestic_gross,worldwide_gross,total_profit,was_it_profitable_domestically
0,"[14, 12, 16, 10751]",en,28.734,2010-03-26,how to train your dragon,7.7,7610,tt0892769,2010,98.0,"Action,Adventure,Animation",30,2010-03-26,165000000,217581232,494870992,329870992,True
1,"[12, 28, 878]",en,28.515,2010-05-07,iron man 2,6.8,12368,tt1228705,2010,124.0,"Action,Adventure,Sci-Fi",15,2010-05-07,170000000,312433331,621156389,451156389,True
2,"[28, 878, 12]",en,27.92,2010-07-16,inception,8.3,22186,tt1375666,2010,148.0,"Action,Adventure,Sci-Fi",38,2010-07-16,160000000,292576195,835524642,675524642,True
3,"[12, 14, 10751]",en,26.691,2010-02-11,percy jackson & the olympians: the lightning thief,6.1,4229,tt0814255,2010,118.0,"Adventure,Family,Fantasy",17,2010-02-12,95000000,88768303,223050874,128050874,False
4,"[28, 12, 14, 878]",en,26.526,2009-12-18,avatar,7.4,18676,tt1775309,2011,93.0,Horror,1,2009-12-18,425000000,760507625,2776345279,2351345279,True
5,"[16, 10751, 35]",en,24.445,2010-06-17,toy story 3,7.7,8340,tt0435761,2010,103.0,"Adventure,Animation,Comedy",47,2010-06-18,200000000,415004880,1068879522,868879522,True
6,"[16, 10751, 35]",en,23.673,2010-07-09,despicable me,7.2,10057,tt1323594,2010,95.0,"Animation,Comedy,Family",50,2010-07-09,69000000,251513985,543464573,474464573,True
7,"[16, 28, 35, 10751, 878]",en,22.855,2010-11-04,megamind,6.8,3635,tt1001526,2010,95.0,"Action,Animation,Comedy",47,2010-11-05,130000000,148415853,321887208,191887208,True
8,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt1014759,2010,108.0,"Adventure,Family,Fantasy",51,2010-03-05,200000000,334191110,1025491110,825491110,True
9,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt1014759,2010,108.0,"Adventure,Family,Fantasy",60,1951-07-28,3000000,0,0,-3000000,False
10,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt1926979,2011,48.0,Documentary,51,2010-03-05,200000000,334191110,1025491110,825491110,True
11,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt1926979,2011,48.0,Documentary,60,1951-07-28,3000000,0,0,-3000000,False
12,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt2049386,2010,99.0,"Fantasy,Musical",51,2010-03-05,200000000,334191110,1025491110,825491110,True
13,"[10751, 14, 12]",en,22.02,2010-03-05,alice in wonderland,6.6,8713,tt2049386,2010,99.0,"Fantasy,Musical",60,1951-07-28,3000000,0,0,-3000000,False
14,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt1014759,2010,108.0,"Adventure,Family,Fantasy",51,2010-03-05,200000000,334191110,1025491110,825491110,True
15,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt1014759,2010,108.0,"Adventure,Family,Fantasy",60,1951-07-28,3000000,0,0,-3000000,False
16,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt1926979,2011,48.0,Documentary,51,2010-03-05,200000000,334191110,1025491110,825491110,True
17,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt1926979,2011,48.0,Documentary,60,1951-07-28,3000000,0,0,-3000000,False
18,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt2049386,2010,99.0,"Fantasy,Musical",51,2010-03-05,200000000,334191110,1025491110,825491110,True
19,[],en,0.6,2010-01-01,alice in wonderland,6.0,1,tt2049386,2010,99.0,"Fantasy,Musical",60,1951-07-28,3000000,0,0,-3000000,False
20,"[53, 12, 28]",en,21.517,2010-08-03,the expendables,6.1,4647,tt1320253,2010,103.0,"Action,Adventure,Thriller",34,2010-08-13,82000000,103068524,268268174,186268174,True
21,"[16, 10751]",en,21.511,2010-11-24,tangled,7.5,6407,tt0398286,2010,100.0,"Adventure,Animation,Comedy",15,2010-11-24,260000000,200821936,586477240,326477240,False
22,"[12, 14, 18, 10749]",en,20.34,2010-06-23,the twilight saga: eclipse,6.0,4909,tt1325004,2010,124.0,"Adventure,Drama,Fantasy",53,2010-06-30,68000000,300531751,706102828,638102828,True
23,"[28, 53, 878]",en,18.985,2010-01-11,the book of eli,6.7,3495,tt1037705,2010,118.0,"Action,Adventure,Drama",64,2010-01-15,80000000,94835059,158750817,78750817,True
24,"[18, 53, 9648]",en,18.06,2010-02-18,shutter island,8.1,12625,tt1130884,2010,138.0,"Mystery,Thriller",52,2010-02-19,80000000,128012934,299461782,219461782,True
25,"[28, 35]",en,17.713,2010-06-23,knight and day,6.0,2494,tt1013743,2010,109.0,"Action,Adventure,Comedy",2,2010-06-23,117000000,76423035,258751370,141751370,False
26,"[12, 10751, 14]",en,17.382,2010-12-10,the chronicles of narnia: the voyage of the dawn treader,6.3,3196,tt0980970,2010,113.0,"Adventure,Family,Fantasy",48,2010-12-10,155000000,104386950,418186950,263186950,False
27,"[18, 10749]",en,17.174,2010-08-06,step up 3d,6.7,1160,tt1193631,2010,107.0,"Drama,Music,Romance",9,2010-08-06,30000000,42400223,165889117,135889117,True
28,"[53, 28, 12, 35, 80]",en,17.097,2010-06-11,the a-team,6.3,2703,tt0429493,2010,117.0,"Action,Adventure,Thriller",32,2010-06-11,110000000,77222099,177241171,67241171,False
